panel,dataset,domain,recording_id,source_index,time_s,x_m,y_m,z_m,speed_mps,display_speed_mps
a,OxIOD,smartphone motion,handbag-1/imu1,0,1496760696.37406,-1.346904203,2.313263904,0.733917771,0.049561337925738,0.049561337925738
a,OxIOD,smartphone motion,handbag-1/imu1,24,1496760696.61424,-1.348969332,2.321127961,0.749557543,0.0798742295674319,0.0798742295674319
a,OxIOD,smartphone motion,handbag-1/imu1,48,1496760696.85436,-1.340117952,2.33088042,0.749600304,0.08734296441604703,0.08734296441604703
a,OxIOD,smartphone motion,handbag-1/imu1,73,1496760697.1043,-1.318081663,2.324555411,0.756064586,0.04227225941277486,0.04227225941277486
a,OxIOD,smartphone motion,handbag-1/imu1,97,1496760697.3442402,-1.321435372,2.333792111,0.761862154,0.030903934268066188,0.030903934268066188
a,OxIOD,smartphone motion,handbag-1/imu1,122,1496760697.59434,-1.323194777,2.335329747,0.75788336,0.03255931266294656,0.03255931266294656
a,OxIOD,smartphone motion,handbag-1/imu1,146,1496760697.8342998,-1.325824897,2.336410366,0.758002557,0.036730924712630175,0.036730924712630175
a,OxIOD,smartphone motion,handbag-1/imu1,171,1496760698.08414,-1.330751636,2.337652378,0.753626056,0.02505147518020188,0.02505147518020188
a,OxIOD,smartphone motion,handbag-1/imu1,195,1496760698.32428,-1.331952992,2.338488451,0.752514616,0.02369515409993413,0.02369515409993413
a,OxIOD,smartphone motion,handbag-1/imu1,219,1496760698.5643399,-1.335376535,2.341285966,0.754098358,0.02373895861550321,0.02373895861550321
a,OxIOD,smartphone motion,handbag-1/imu1,244,1496760698.8143501,-1.331628703,2.335521528,0.749345941,0.018603860841042943,0.018603860841042943
a,OxIOD,smartphone motion,handbag-1/imu1,268,1496760699.0543501,-1.333559431,2.338612285,0.751544188,0.01775837220917866,0.01775837220917866
a,OxIOD,smartphone motion,handbag-1/imu1,293,1496760699.30432,-1.328840364,2.334881173,0.750931977,0.016114153668154337,0.016114153668154337
a,OxIOD,smartphone motion,handbag-1/imu1,317,1496760699.54426,-1.329715712,2.33696124,0.753687903,0.019320691298515446,0.019320691298515446
a,OxIOD,smartphone motion,handbag-1/imu1,342,1496760699.7943099,-1.323116904,2.334728238,0.764213935,0.09129832879787071,0.09129832879787071
