sample_index,method,ate,full_imu_ate,ate_delta_vs_full
0,GRU,0.0038614249788224697,0.0035642553120851517,0.00029716966673731804
0,Transformer,0.0011722133494913578,0.0035642553120851517,-0.002392041962593794
0,LOCF,0.003680917900055647,0.0035642553120851517,0.00011666258797049522
0,MICE,0.002670958172529936,0.0035642553120851517,-0.0008932971395552158
3043,GRU,0.019478289410471916,0.030660629272460938,-0.011182339861989021
3043,Transformer,0.021875979378819466,0.030660629272460938,-0.008784649893641472
3043,LOCF,0.03137604892253876,0.030660629272460938,0.0007154196500778198
3043,MICE,0.02765543758869171,0.030660629272460938,-0.003005191683769226
6086,GRU,0.023641543462872505,0.02658901736140251,-0.0029474738985300064
6086,Transformer,0.022439369931817055,0.02658901736140251,-0.004149647429585457
6086,LOCF,0.027519172057509422,0.02658901736140251,0.0009301546961069107
6086,MICE,0.027193011716008186,0.02658901736140251,0.0006039943546056747
9129,GRU,0.024223456159234047,0.019093196839094162,0.005130259320139885
9129,Transformer,0.032075680792331696,0.019093196839094162,0.012982483953237534
9129,LOCF,0.018990179523825645,0.019093196839094162,-0.00010301731526851654
9129,MICE,0.015464343130588531,0.019093196839094162,-0.0036288537085056305
12172,GRU,0.002671194029971957,0.003634776221588254,-0.0009635821916162968
12172,Transformer,0.0009422220755368471,0.003634776221588254,-0.002692554146051407
12172,LOCF,0.003392609301954508,0.003634776221588254,-0.00024216691963374615
12172,MICE,0.0031818500719964504,0.003634776221588254,-0.00045292614959180355
