segment_id,sample_index,time_step,is_missing,full_x,full_y,full_z,gru_x,gru_y,gru_z,transformer_x,transformer_y,transformer_z,locf_x,locf_y,locf_z,mice_x,mice_y,mice_z
1,0,0,1,-1.3359947,1.7033862,1.2991424,-1.3359947,1.7033862,1.2991424,-1.3359947,1.7033862,1.2991424,-1.3359947,1.7033862,1.2991424,-1.3359947,1.7033862,1.2991424
1,0,1,1,-1.3360251,1.7033856,1.299088,-1.3360287,1.7033962,1.2991172,-1.336005,1.703391,1.2991347,-1.3360251,1.7033856,1.2990984,-1.3360251,1.7033856,1.2991489
1,0,2,1,-1.336093,1.7033806,1.2989858,-1.3360993,1.7033945,1.2990462,-1.336026,1.7033988,1.2991246,-1.336093,1.7033836,1.2990105,-1.336093,1.703375,1.2991363
1,0,3,1,-1.336195,1.7033635,1.2988454,-1.3362,1.7033689,1.2989357,-1.3360571,1.7034117,1.2991157,-1.336195,1.7033727,1.2988843,-1.336195,1.7033468,1.2990853
1,0,4,1,-1.3363258,1.7033309,1.2986716,-1.3363225,1.7033159,1.2987915,-1.3360976,1.7034296,1.2991055,-1.3363258,1.7033455,1.2987247,-1.3363185,1.7033067,1.299001
1,0,5,1,-1.336481,1.7032828,1.2984676,-1.3364612,1.7032341,1.2985936,-1.336148,1.7034466,1.2990898,-1.3364853,1.7033019,1.2985312,-1.3364613,1.7032615,1.2988961
1,0,6,1,-1.3366543,1.7032194,1.2982391,-1.3366144,1.7031412,1.2983475,-1.3362057,1.7034683,1.299069,-1.336667,1.7032427,1.2983094,-1.3366243,1.7032075,1.2987763
1,0,7,1,-1.336843,1.7031423,1.2979916,-1.3367829,1.7030678,1.2980704,-1.336269,1.7034936,1.2990432,-1.336864,1.7031686,1.2980651,-1.3368026,1.7031446,1.2986466
1,0,8,1,-1.3370464,1.7030526,1.2977335,-1.3369656,1.7030072,1.2977833,-1.336337,1.7035204,1.2990124,-1.337076,1.703081,1.2978064,-1.3369937,1.7030737,1.2985153
1,0,9,1,-1.3372647,1.702951,1.2974749,-1.3371625,1.7029451,1.2974955,-1.3364092,1.7035489,1.2989776,-1.3373028,1.7029809,1.2975417,-1.3371937,1.7029951,1.298385
1,0,10,1,-1.3374981,1.7028376,1.2972256,-1.3373737,1.7028848,1.2972071,-1.3364847,1.7035787,1.2989379,-1.3375446,1.7028686,1.2972811,-1.3374048,1.7029088,1.2982657
1,0,11,1,-1.337745,1.7027141,1.2969935,-1.3375982,1.70283,1.2969226,-1.336561,1.703614,1.2988943,-1.3377998,1.7027463,1.2970377,-1.3376294,1.7028124,1.2981635
1,0,12,1,-1.3380004,1.7025841,1.2967836,-1.3378344,1.7027826,1.2966452,-1.3366387,1.7036505,1.2988446,-1.3380668,1.7026156,1.2968147,-1.3378634,1.702707,1.2980798
1,0,13,1,-1.3382573,1.702452,1.2965957,-1.3380738,1.7027421,1.2963777,-1.3367186,1.7036865,1.2987882,-1.3383386,1.7024808,1.296612,-1.3380997,1.7025967,1.2980132
1,0,14,1,-1.3385096,1.702322,1.2964281,-1.3383082,1.702707,1.2961202,-1.3367984,1.7037222,1.2987245,-1.338608,1.7023482,1.2964298,-1.338333,1.7024884,1.2979655
1,0,15,1,-1.3387533,1.7021977,1.2962798,-1.3385358,1.7026733,1.2958721,-1.3368797,1.7037562,1.2986543,-1.3388714,1.7022213,1.2962668,-1.3385596,1.7023859,1.2979372
1,0,16,1,-1.3389875,1.7020816,1.2961478,-1.3387564,1.7026434,1.295634,-1.3369632,1.7037896,1.2985798,-1.3391248,1.7021025,1.296122,-1.3387749,1.7022916,1.2979256
1,0,17,1,-1.3392133,1.7019752,1.2960312,-1.3389722,1.7026266,1.2954037,-1.3370463,1.7038251,1.2985033,-1.3393683,1.7019936,1.2959943,-1.3389828,1.7022071,1.29793
1,0,18,1,-1.3394324,1.7018769,1.2959323,-1.3391845,1.7026241,1.2951789,-1.3371284,1.7038649,1.2984228,-1.339604,1.7018926,1.2958829,-1.3391869,1.7021306,1.2979543
1,0,19,1,-1.3396448,1.7017839,1.295853,-1.3393936,1.7026354,1.2949588,-1.3372111,1.7039101,1.2983365,-1.3398331,1.701797,1.2957902,-1.3393843,1.7020593,1.2980008
1,0,20,1,-1.339848,1.7016948,1.2957951,-1.3396008,1.7026583,1.2947451,-1.3372921,1.7039635,1.2982475,-1.3400549,1.7017053,1.2957188,-1.3395785,1.701992,1.2980685
1,0,21,1,-1.3400383,1.7016087,1.2957593,-1.3398008,1.7026893,1.2945418,-1.337371,1.7040317,1.2981591,-1.3402654,1.7016165,1.2956691,-1.3397657,1.7019277,1.2981524
1,0,22,1,-1.3402116,1.7015268,1.2957467,-1.3399873,1.7027322,1.2943492,-1.3374475,1.7041147,1.2980711,-1.3404609,1.701532,1.2956421,-1.3399426,1.7018676,1.2982537
1,0,23,1,-1.3403658,1.7014542,1.2957575,-1.340159,1.7027926,1.2941641,-1.3375218,1.704207,1.2979828,-1.3406391,1.7014568,1.2956387,-1.3401067,1.7018167,1.2983783
1,0,24,1,-1.3405014,1.7013935,1.2957913,-1.3403153,1.7028729,1.2939856,-1.3375952,1.7043045,1.297894,-1.3407989,1.7013932,1.2956585,-1.3402525,1.7017784,1.2985201
1,0,25,1,-1.3406218,1.7013453,1.2958447,-1.3404574,1.7029738,1.2938141,-1.3376619,1.7044008,1.2978027,-1.3409415,1.7013415,1.2956984,-1.3403863,1.7017521,1.2986758
