model,mask_rate,test_rmse_missing,test_mse_missing,test_mse_all,test_ate,test_rte
Mean,0.1,0.8653977541864075,0.7879241512510241,0.07887069745408035,0.018643887144567214,0.05020672819430895
Mean,0.2,0.8679485248299096,0.7918210646212149,0.15825941414809713,0.01793720616260448,0.04929715708983835
Mean,0.3,0.8703362610963542,0.7958105844683857,0.23850502268676438,0.017334067434926926,0.04860074064449938
Mean,0.4,0.8733073818226029,0.8006301234018551,0.3201228507189141,0.016874154658441397,0.04824437271993604
LOCF,0.1,0.34060006995937175,0.12995972899328048,0.013001764447339218,0.01952220365207082,0.05147696568739938
LOCF,0.2,0.3857707372790794,0.16462779617900447,0.03288861667524089,0.01959722474084904,0.05165517889322328
LOCF,0.3,0.44001305484142045,0.21330975008426598,0.06391938589054974,0.01974509296187323,0.052049079762086004
LOCF,0.4,0.5018610620964075,0.27640707122838476,0.11049257578797121,0.019968278367452737,0.05262165780913223
KNN,0.1,0.28283260273074934,0.09053756593803117,0.009067166787635417,0.019508286014261685,0.051448907316113526
KNN,0.2,0.32232409430633535,0.1163788217458577,0.023251296648781793,0.019554301022893864,0.051583496381095335
KNN,0.3,0.3727838025474799,0.15413394145870135,0.04619186398417159,0.01962794303394604,0.051839217030256374
KNN,0.4,0.4311570026606243,0.2041516906725123,0.08161836103935698,0.019761552633211943,0.05231496599776468
MICE,0.1,0.8521409866319397,0.7619085212108578,0.07626561934561982,0.01826842350474122,0.048137203225214614
MICE,0.2,0.8765619534148476,0.8052528657965128,0.1609863366514904,0.01716498673331872,0.04521506541976029
MICE,0.3,0.9051871350783063,0.857702328959783,0.2570792031873157,0.016183162097046656,0.04276167740980564
MICE,0.4,0.9353992968817239,0.9157482255610767,0.3660946566067035,0.015308006608761235,0.04080352254239895
GRU,0.1,0.30050099643040207,0.10798598813098365,0.05748090864430497,0.01765595735501748,0.04693049073269765
GRU,0.2,0.33359134907093574,0.130853125488806,0.06795283168336753,0.017554384120011264,0.0467374862053788
GRU,0.3,0.37115976606493234,0.1601677574431206,0.08492186296244794,0.017433453078051893,0.04655191712958779
GRU,0.4,0.4182350755989395,0.20063326748581775,0.11271357198436488,0.017222878995603125,0.046200327139049764
Transformer,0.1,0.1752964601194452,0.04240532053525748,0.2099074404197806,0.012033184864814962,0.03080351927779491
Transformer,0.2,0.20201940060131193,0.0548745486778366,0.276177889066125,0.011770015571501749,0.03010166732549069
Transformer,0.3,0.2386770933338507,0.07270430541399309,0.3646612500336774,0.011451075212281893,0.029330167325368882
Transformer,0.4,0.28694076364825716,0.09977595473632334,0.47714253382762195,0.011195441061712096,0.02877111797146927
