segment_id,sample_index,time_step,is_missing,full_x,full_y,gt_x,gt_y,bilnn_x,bilnn_y,bilstm_x,bilstm_y,hybrid_x,hybrid_y
4,9129,0,1,-1.4830722,2.5337057,-1.4830722,2.5337057,-1.4830722,2.5337057,-1.4830722,2.5337057,-1.4830722,2.5337057
4,9129,1,1,-1.4831305,2.5337253,-1.4830722,2.5337057,-1.4831342,2.533725,-1.4831371,2.5337253,-1.4831407,2.5337245
4,9129,2,1,-1.4832437,2.5337653,-1.4830722,2.5337057,-1.4832515,2.5337656,-1.4832536,2.5337675,-1.4832749,2.533769
4,9129,3,1,-1.4834347,2.5338137,-1.4830722,2.5337057,-1.4834374,2.533815,-1.483438,2.5338185,-1.4834654,2.5338244
4,9129,4,1,-1.4837527,2.533852,-1.4830722,2.5337057,-1.4837269,2.5338502,-1.4837378,2.5338557,-1.4837497,2.5338633
4,9129,5,1,-1.4842738,2.5338717,-1.4830722,2.5337057,-1.4842075,2.5338616,-1.4842387,2.533872,-1.4842316,2.5338798
4,9129,6,1,-1.4850972,2.5338817,-1.4830722,2.5337057,-1.4850143,2.5338619,-1.4850848,2.5338755,-1.4850869,2.533886
4,9129,7,1,-1.4863261,2.533905,-1.4830722,2.5337057,-1.4862316,2.533876,-1.4863797,2.533888,-1.4864256,2.5339034
4,9129,8,1,-1.488028,2.533969,-1.4830722,2.5337057,-1.4879085,2.533939,-1.4881513,2.533943,-1.4882894,2.533972
4,9129,9,1,-1.4901785,2.534093,-1.4830722,2.5337057,-1.4900795,2.5340798,-1.490387,2.5340748,-1.4907115,2.5341165
4,9129,10,1,-1.4926288,2.5342906,-1.4830722,2.5337057,-1.4926425,2.5343199,-1.492966,2.5343003,-1.4935782,2.5343547
4,9129,11,1,-1.4951624,2.5345724,-1.4830722,2.5337057,-1.4953679,2.5346565,-1.4956654,2.5346076,-1.4967088,2.534687
4,9129,12,1,-1.4975709,2.5349278,-1.4830722,2.5337057,-1.4979941,2.5350568,-1.4982357,2.5349705,-1.4998263,2.5350826
4,9129,13,1,-1.4996843,2.535313,-1.4830722,2.5337057,-1.5003127,2.5354788,-1.5004864,2.5353544,-1.5026423,2.5355086
4,9129,14,1,-1.5013797,2.535666,-1.4830722,2.5337057,-1.5022035,2.5358696,-1.502296,2.535707,-1.5050132,2.535908
4,9129,15,1,-1.5025772,2.5359344,-1.4830722,2.5337057,-1.5035821,2.5361738,-1.50358,2.5359714,-1.506841,2.5362132
4,9129,16,1,-1.503244,2.5360854,-1.4830722,2.5337057,-1.504416,2.536357,-1.5043101,2.5361133,-1.5080994,2.5363874
4,9129,17,1,-1.5034009,2.5361,-1.4830722,2.5337057,-1.5047196,2.5364022,-1.5045053,2.5361145,-1.5088015,2.53642
4,9129,18,1,-1.5031215,2.5359662,-1.4830722,2.5337057,-1.5045692,2.5362961,-1.5042382,2.535965,-1.5090141,2.536298
4,9129,19,1,-1.5025203,2.5356798,-1.4830722,2.5337057,-1.5040882,2.5360384,-1.5036335,2.535665,-1.508882,2.5360186
4,9129,20,1,-1.5017279,2.5352535,-1.4830722,2.5337057,-1.5033975,2.5356398,-1.5028266,2.5352254,-1.5085396,2.5355978
4,9129,21,1,-1.5008736,2.534719,-1.4830722,2.5337057,-1.5026386,2.5351298,-1.5019549,2.534671,-1.508137,2.5350645
4,9129,22,0,-1.5000771,2.5341175,-1.4830722,2.5337057,-1.5019441,2.5345526,-1.5011472,2.534045,-1.5078175,2.5344605
4,9129,23,1,-1.4994411,2.5334914,-1.4830722,2.5337057,-1.5014265,2.53395,-1.5005175,2.5333924,-1.507699,2.5338302
4,9129,24,1,-1.4990315,2.5328844,-1.4830722,2.5337057,-1.5011634,2.5333695,-1.5001369,2.5327606,-1.5078685,2.5332215
4,9129,25,0,-1.4988511,2.5323362,-1.4830722,2.5337057,-1.5011525,2.5328546,-1.4999993,2.532193,-1.5083314,2.5326772
4,9129,26,1,-1.4988323,2.5318666,-1.4830722,2.5337057,-1.5013154,2.5324256,-1.5000539,2.531713,-1.5089988,2.5322208
4,9129,27,1,-1.4988796,2.531463,-1.4830722,2.5337057,-1.5015538,2.5320687,-1.5002358,2.5313096,-1.5097474,2.5318382
4,9129,28,1,-1.4989089,2.5310812,-1.4830722,2.5337057,-1.5017643,2.5317311,-1.5004693,2.5309317,-1.5104734,2.5314755
4,9129,29,1,-1.4988567,2.5306623,-1.4830722,2.5337057,-1.5018704,2.5313463,-1.5006847,2.53051,-1.5111047,2.531065
