model,mask_rate,test_rmse_missing,test_mse_missing,test_mse_all,test_ate,test_rte
Bidirectional_LNN,0.1,0.10077769807209884,0.014308861299032001,0.0018077655083606333,0.019422046640200974,0.05123368360078703
Bidirectional_LNN,0.2,0.12856540700611402,0.022690591376609098,0.00495061080205125,0.019404380361167095,0.0511927982109381
Bidirectional_LNN,0.3,0.16401084220119974,0.035768274405109206,0.011167051910143621,0.019375146370557695,0.051124268687223445
Bidirectional_LNN,0.4,0.20722370019813222,0.05513826064929535,0.022572527030755442,0.01933179550980088,0.051038581743242564
BiLSTM,0.1,0.1056973435219348,0.015525329194787591,0.002465379223225362,0.0194536680429115,0.051280635964199614
BiLSTM,0.2,0.13309548015454467,0.0237669176463691,0.0057079046439000415,0.019430838951211036,0.05122990647151466
BiLSTM,0.3,0.16771380427804364,0.03655872654488794,0.01198724039491945,0.019389399172640112,0.051148441494427245
BiLSTM,0.4,0.21009508291567405,0.05551607422854536,0.023367590362754872,0.01933826630110172,0.051058759021457296
Hybrid_BiLNN_BiLSTM,0.1,0.09323060887516171,0.012333943519336135,0.001595333621922295,0.019441206157078957,0.05126873386496978
Hybrid_BiLNN_BiLSTM,0.2,0.11924042014204689,0.019825033577610653,0.0043316297121482735,0.019426320107135173,0.051241378876534155
Hybrid_BiLNN_BiLSTM,0.3,0.1528480170573306,0.031084320393819947,0.009708995972711134,0.019393068198982226,0.05117072502721751
Hybrid_BiLNN_BiLSTM,0.4,0.1946294223474158,0.048863228418732314,0.01997496044669475,0.01935184223089723,0.051083691790371456
