epoch,只有数据重建损失_MSE_masked,只有数据重建损失_MSE_all,自适应损失（基准）_MSE_masked,自适应损失（基准）_MSE_all,adaptive_loss_no_smooth_MSE_masked,adaptive_loss_no_smooth_MSE_all,引入物理损失_MSE_masked,引入物理损失_MSE_all,physics_informed-no_smooth_MSE_masked,physics_informed-no_smooth_MSE_all,physics_informed-recon+physic_MSE_masked,physics_informed-recon+physic_MSE_all
1,0.958045378,0.76172249,1.06378237,1.045814626,0.944732074,0.787107081,1.176874419,1.052119791,1.206046763,1.093295972,1.229440943,1.121622099
2,0.768865689,0.572973551,1.017229862,0.995356795,0.945192508,0.713694766,1.047368646,0.92554295,1.145225341,1.04503773,1.179317233,1.100993138
3,0.568517383,0.40597216,1.020510671,1.002271764,0.865663605,0.623621247,0.98738523,0.858113586,1.05346242,0.952127925,1.110275229,1.044020229
4,0.473069446,0.341363149,1.011597662,0.996689687,0.791220703,0.544090445,0.924409859,0.81910867,1.003301157,0.893857852,1.133338112,1.079192908
5,0.406630966,0.286425032,0.988825397,0.975616208,0.679627162,0.439601361,0.886906266,0.795619584,1.002098036,0.906321298,1.138498616,1.083445876
6,0.359837042,0.262666538,1.005437644,0.995208259,0.565824407,0.34929252,0.855819279,0.774822572,0.951325723,0.852377652,1.105475867,1.020686784
7,0.317808369,0.241616192,0.980614265,0.968744686,0.501200556,0.305300088,0.907502281,0.835159778,0.942823238,0.839893486,1.114899683,1.048181821
8,0.291606572,0.250364406,0.976906757,0.959789452,0.444705801,0.28173422,0.811287504,0.748417735,0.778324377,0.669041413,1.019295825,0.922287522
9,0.263630352,0.251042497,0.962326425,0.949073903,0.415593158,0.266207765,0.840043591,0.768625909,0.753999206,0.638383843,0.878860089,0.791781981
10,0.250194292,0.282042989,0.956763505,0.943599145,0.380535872,0.256356632,0.825650169,0.759847752,0.72798732,0.607574168,0.907451299,0.808320951
11,0.242462814,0.278611547,0.961526937,0.945818249,0.357630494,0.244690531,0.820867138,0.745719827,0.653102793,0.547556098,0.875452579,0.778761112
12,0.230923206,0.314664345,0.94420079,0.927063407,0.344487208,0.241878195,0.843753143,0.784635382,0.670110616,0.537231891,0.8357432,0.748858174
13,0.231976633,0.310518264,0.945938862,0.927863084,0.317431267,0.232887913,0.838161191,0.782285494,0.583507044,0.472619278,0.809096945,0.70443819
14,0.213022916,0.320211932,0.942361692,0.923526207,0.306325667,0.228474202,0.82035375,0.757563307,0.601091863,0.502613509,0.770519559,0.680684993
15,0.215157102,0.333136116,0.936480503,0.917199019,0.298700585,0.22506696,0.847423384,0.786071383,0.594907203,0.501257436,0.75343833,0.666253027
16,0.209158281,0.310833117,0.942132048,0.923191908,0.28617096,0.21219681,0.851313036,0.781807773,0.585194551,0.489443963,0.721808449,0.636566194
17,0.201697206,0.297987056,0.93875797,0.917228768,0.278830217,0.205322482,0.806403552,0.743895004,0.575687104,0.482559703,0.687411678,0.593356379
18,0.219623826,0.31754042,0.934180921,0.916855696,0.27065423,0.1980143,0.838736595,0.773133382,0.57729894,0.473866173,0.703334356,0.619006129
19,0.202195329,0.310804543,0.933758435,0.913347874,0.274904808,0.199003133,0.803776357,0.744311422,0.577378198,0.472473719,0.688529044,0.592799742
20,0.209140068,0.318200933,0.933691295,0.913501173,0.256149183,0.183354489,0.814150821,0.755340602,0.556465959,0.459608624,0.622017735,0.528066965
21,0.199745071,0.30047232,0.928476146,0.905810858,0.259799145,0.184334567,0.826520956,0.75762122,0.586823162,0.485317666,0.629439958,0.532273641
22,0.195127275,0.295187459,0.93735143,0.916071904,0.255103051,0.174954257,0.814375605,0.751877874,0.561315872,0.464884853,0.609396119,0.517698086
23,0.200699971,0.29039092,0.930013784,0.908636129,0.242175217,0.168734754,0.844323878,0.778167299,0.558631252,0.466789591,0.595459622,0.504613203
24,0.187283354,0.297678668,0.927737454,0.906768831,0.243078984,0.161051546,0.808047003,0.745734119,0.537597315,0.444194815,0.588655215,0.489964781
25,0.192072082,0.28989527,0.923879373,0.904215408,0.237309077,0.162697507,0.804778421,0.744855508,0.508422825,0.419137497,0.594643859,0.485472854
26,0.190096968,0.289177386,0.926122047,0.907024656,0.241576251,0.162488857,0.827571976,0.76621304,0.517052636,0.417251675,0.559624739,0.469532837
27,0.190352824,0.285325837,0.9203508,0.89905214,0.238684237,0.157734347,0.810132505,0.749645038,0.504063887,0.4102392,0.556630614,0.458905581
28,0.192729666,0.281879561,0.922975142,0.902894058,0.23259813,0.157207816,0.818578856,0.767060342,0.509363008,0.413212469,0.53225189,0.434135806
29,0.18416258,0.286700046,0.921894878,0.902208573,0.22832318,0.15589513,0.800137944,0.750297259,0.535774256,0.442240132,0.546646559,0.458241748
30,0.18047402,0.27955453,0.921565828,0.901606685,0.228082648,0.150255686,0.777676221,0.722987837,0.491673148,0.404443151,0.496958367,0.391302683
31,0.182024981,0.281958702,0.915268391,0.895332181,0.222480612,0.14635857,0.807273583,0.750929149,0.488572398,0.390402863,0.493393716,0.396407516
32,0.181415174,0.280239895,0.915155812,0.894758277,0.223254426,0.145126832,0.802308683,0.749423637,0.484968474,0.393782343,0.495851886,0.41338498
33,0.176605828,0.266962331,0.915031558,0.894866216,0.22103479,0.144101278,0.794720643,0.738525946,0.504031195,0.416957601,0.479816136,0.389682497
34,0.176752257,0.266218831,0.915409109,0.895502361,0.218415621,0.14326724,0.787895368,0.728818877,0.459455516,0.365106484,0.489248326,0.391123033
35,0.176077049,0.272654605,0.916277437,0.897107727,0.218442552,0.140451855,0.799752404,0.742022277,0.468743726,0.367650849,0.477292037,0.388848144
36,0.176017284,0.269011154,0.90960418,0.889822754,0.217614801,0.139681476,0.794398642,0.736916312,0.471756772,0.376277112,0.454898068,0.360577665
37,0.175828018,0.268664792,0.90746942,0.887583077,0.213575365,0.136733226,0.780731186,0.724617272,0.444596713,0.352459351,0.457969274,0.372794719
38,0.170496302,0.268329717,0.908201101,0.888128861,0.21501724,0.136459429,0.779353996,0.721947614,0.44982077,0.355510351,0.443103176,0.35710096
39,0.171913868,0.257657659,0.909836906,0.889940653,0.212109087,0.134172303,0.770423609,0.715950153,0.438604251,0.345908501,0.43256922,0.34579281
40,0.17007535,0.25724817,0.908682019,0.889356391,0.210348534,0.133526246,0.762523185,0.706893144,0.431277693,0.339169853,0.4344584,0.351096636
41,0.171752545,0.257424197,0.906669864,0.886552214,0.210394196,0.132072495,0.778740569,0.724413733,0.419786276,0.331279502,0.42318594,0.33961607
42,0.170092192,0.256766269,0.907865126,0.887693043,0.210175274,0.132896603,0.764211775,0.70905158,0.432254307,0.343710205,0.418803206,0.335428727
43,0.169806766,0.254623042,0.90861027,0.888658369,0.208499057,0.131723279,0.772702651,0.717149009,0.426870302,0.335737443,0.413190133,0.328711365
44,0.167247222,0.256268687,0.906062364,0.886125312,0.208991718,0.13231413,0.764926065,0.71196761,0.420616123,0.328099906,0.412212492,0.327867104
45,0.166711889,0.254811261,0.907538944,0.887496674,0.207750284,0.131102819,0.769195122,0.714315498,0.416638915,0.328311935,0.413689652,0.328927092
46,0.168026142,0.255961685,0.906660489,0.886815802,0.208391699,0.131199943,0.76831121,0.713618282,0.415017683,0.324638504,0.408275767,0.323622338
47,0.167993496,0.258097612,0.90715565,0.887276934,0.2081153,0.130397994,0.772014603,0.717611245,0.416693916,0.326689504,0.4043251,0.319559615
