epoch,有物理输出头_MSE_masked,无物理输出头_MSE_masked,有物理输出头_MSE_all,无物理输出头_MSE_all
1,0.3372181335310595,0.33778809102033863,0.24844194887968496,0.24657573529494634
2,0.19784769070574731,0.21097303576288373,0.14034902163186547,0.1365481728339677
3,0.14601379235426765,0.15308684748498022,0.12493847851117088,0.10381302968117981
4,0.13170754020967054,0.13271450087804507,0.13771122269417496,0.12397106460137468
5,0.12272943399217426,0.12240625004288246,0.1657305156988718,0.16012962897425626
6,0.11570698027715204,0.1176459249930989,0.18105311232134366,0.17941318825615593
7,0.11236343688354435,0.11383119023908134,0.18102382217943594,0.17772343462585566
8,0.11072346186095987,0.11212234056302482,0.1736157710225596,0.17993224484300566
9,0.10753031487656663,0.10527598488258101,0.16242172677498107,0.1716815788705085
10,0.10451336554737156,0.10565817031268097,0.15566740857838174,0.1686252335275134
11,0.10553645185263001,0.10513597536444698,0.1498874447442815,0.17216275606185102
12,0.10220483809958911,0.10380307875114447,0.1431827768807132,0.1721725202459877
13,0.10237388973187446,0.10317462997438429,0.13600163457064557,0.17375769807465555
14,0.10014718105190974,0.10219182109277808,0.12979740070598986,0.17570798337732857
15,0.10109163694608658,0.1023204136700989,0.1259526588458428,0.1767631000294669
16,0.09970133757520913,0.0997152605182223,0.12098019285345554,0.1793410205967815
17,0.1004560935789802,0.10060521863788101,0.11714977603649065,0.1824858434845822
18,0.09808583395534691,0.099449280147462,0.11140693586520609,0.18178071869528448
19,0.09821522291869945,0.09815400037363652,0.11012543826373229,0.18089556025226472
20,0.09849175921547187,0.09811821494951138,0.11032700033321081,0.1819639480679713
21,0.0981945253368985,0.0984000591194727,0.108680274296779,0.18294607696103538
22,0.09738734910277212,0.09765232600207079,0.10485379893142895,0.18257203119145216
23,0.09746245441253343,0.09660616384173432,0.10478165178846308,0.18291320216027204
24,0.0967764161419094,0.09601934013651016,0.10339659444207201,0.18058966323769168
25,0.09654738587674004,0.09599215693864845,0.10244743447817743,0.1796728981909797
26,0.09640077125986177,0.09574763701700982,0.10138925694610347,0.17986537050120552
27,0.09627025004311224,0.09558948237283209,0.10114363550563767,0.1801854697562007
28,0.09620073675703421,0.09560484056020387,0.10076743401200886,0.1799316816849268
29,0.09613042629738694,0.09557967479066456,0.1008417837197424,0.17990739649515913
30,0.09615633475159313,0.09556531748454243,0.10088956511269977,0.17999432943372912
