epoch,有物理输出头_MSE_masked,无物理输出头_MSE_masked,有物理输出头_MSE_all,无物理输出头_MSE_all
1,0.42189474729132653,0.4231170676067864,0.3044749634081626,0.3131409698371423
2,0.2892408366816385,0.29241845132451194,0.1880899019994073,0.19020394811271163
3,0.2009278901395832,0.20253706498705612,0.12152413394368501,0.1241286526634651
4,0.16784676423926864,0.1681179395962261,0.11313795105930505,0.12061419468401303
5,0.14797023824261468,0.14863646245269221,0.11404673757852028,0.127878016202306
6,0.13336874367676285,0.13795115410348852,0.11070670788331696,0.13812988778202737
7,0.12440746517250367,0.13006566350762763,0.10800289247559922,0.1396816613306549
8,0.11790067776185026,0.12247377545964692,0.10289751264872841,0.1292245346866407
9,0.11461022045248674,0.1174237544516312,0.09229719870181159,0.11903039280976889
10,0.11016327511678768,0.11349300418855443,0.08337745328424633,0.11161426586784574
11,0.10836991745275336,0.1108633404236832,0.07712570930953992,0.1077396202683477
12,0.10699702503259906,0.10930503359176727,0.07178772360867015,0.10126549469351548
13,0.10560011057777315,0.10652114748589375,0.06899800355485454,0.09721922903223539
14,0.10456252099266183,0.10466924656196296,0.06600592371836796,0.09280798021086843
15,0.10230083838664772,0.10499579249881208,0.06352043150099089,0.08818072481402157
16,0.10198743128089956,0.10305432524282127,0.0601809411953077,0.08563133697322033
17,0.10063248674850911,0.10215568334733399,0.058112632817132616,0.08464865750859833
18,0.10019883961962936,0.10196544803429036,0.05711670630317396,0.08231763170157941
19,0.09948970119416264,0.10142760637846096,0.05590710358307969,0.08051539863896831
20,0.09973988872497336,0.10088731011554423,0.05549493916179149,0.07953137160230137
21,0.09813601174965499,0.09901534189407271,0.05350656746752515,0.07505099474695329
22,0.09801730022880788,0.0987078947626927,0.05333175000411948,0.07501296415007826
23,0.09688904361412426,0.09777491240161298,0.051437578432528844,0.07386427620087607
24,0.09640885719805645,0.09760754547026107,0.05085538710725943,0.07292999373925418
25,0.09636965071481679,0.09713336041284029,0.050375963857173606,0.07089302077528635
26,0.09621912489293553,0.09671540683773688,0.050240412355528424,0.06993552132324656
27,0.0959366901316613,0.09658708626065839,0.049587152621968646,0.06983839540101215
28,0.09565640734671033,0.09649832916954057,0.04941254382115634,0.06937792320725868
29,0.09561101776435463,0.0964027631522486,0.04926262070840384,0.06949001022630778
30,0.09558056537457336,0.09630338786446317,0.0492795926627828,0.06939678556085271
