experiment,w_physics_integration,w_physics_energy,best_val_loss,best_epoch,final_val_loss,final_train_loss,final_mse_masked,final_mse_all
"w_int=0, w_energy=0",0.0,0.0,-3.203661050984916,29,-3.20252992719104,-3.332122838216449,0.09458962753852879,0.27518298004159364
"w_int=0, w_energy=0.1",0.0,0.1,-3.189349388899995,30,-3.189349388899995,-3.3269475994529305,0.09461674182742856,0.30769143084202166
"w_int=0, w_energy=0.5",0.0,0.5,-3.197594974543744,30,-3.197594974543744,-3.327277531354356,0.0947177852758145,0.14514754829544171
"w_int=0, w_energy=0.2",0.0,0.2,-3.2124778144725283,30,-3.2124778144725283,-3.3429723384803283,0.09519972847622817,0.07915793429614257
"w_int=0.1, w_energy=0.1",0.1,0.1,136.7425426749048,20,141.76895385777254,595.2444436717819,0.17666949856662,0.13887639184411082
"w_int=0.1, w_energy=0.2",0.1,0.2,135.02672321783766,21,142.38784182234366,582.6641565986293,0.17881984949343888,0.129088611576697
"w_int=0.1, w_energy=0.5",0.1,0.5,140.29515076799768,23,145.92200634785002,600.5096048284737,0.17978677800570567,0.12967933503041712
"w_int=0.1, w_energy=0",0.1,0.0,141.44939842908286,18,154.30380795732242,653.6641909261326,0.18107780032272933,0.14423369017900606
"w_int=0.2, w_energy=0.1",0.2,0.1,288.13319983999327,22,300.65449577755237,1266.2111576691902,0.23157118226509538,0.18697461218381098
"w_int=0.2, w_energy=0",0.2,0.0,289.37810455876104,17,303.53719450624897,1142.7244920215576,0.2337433209085316,0.19222377943350927
"w_int=0.2, w_energy=0.5",0.2,0.5,273.1840609452144,17,299.5442110263913,1149.468880041016,0.23401836214136612,0.18387312031883415
"w_int=0.2, w_energy=0.2",0.2,0.2,293.8713019991391,9,330.6971601996122,1311.952258023175,0.24303729876373148,0.19422786907625467
"w_int=0.5, w_energy=0.5",0.5,0.5,706.269101548954,19,804.309551447065,3148.8075779483684,0.31041472108817186,0.2676739256378543
"w_int=0.5, w_energy=0.1",0.5,0.1,716.6289434151906,26,728.9755494196909,3027.492632771811,0.3185700628679836,0.2631585332363776
"w_int=0.5, w_energy=0",0.5,0.0,722.9435347546403,13,748.211922453876,3089.356950554481,0.327173318941615,0.278446303490603
"w_int=0.5, w_energy=0.2",0.5,0.2,714.1603960623969,16,752.2415857032179,3220.970165801086,0.41885808428750854,0.3761035746441472
