experiment,w_physics_integration,w_physics_energy,best_val_loss,best_epoch,final_val_loss,final_train_loss,final_mse_masked,final_mse_all
"w_int=0, w_energy=0.0001",0.0,0.0001,-2.185569077715109,30,-2.185569077715109,-3.4535525952066695,0.19065064185696073,0.3093117877381739
"w_int=0.001, w_energy=0",0.001,0.0,-2.204210994108113,30,-2.204210994108113,-3.457019379447446,0.1915409745215996,0.2054842047768752
"w_int=0.0005, w_energy=0.005",0.0005,0.005,-2.1815759010347735,30,-2.1815759010347735,-3.451139303669612,0.19264800725687478,0.20256472457992214
"w_int=0.001, w_energy=0.0005",0.001,0.0005,-2.2083141825803856,29,-2.208210150593693,-3.4555941172384377,0.19269438930293606,0.22790995021885666
"w_int=0.0005, w_energy=0.0005",0.0005,0.0005,-2.197334912289115,29,-2.1956481135730606,-3.452300960347112,0.19334978680804515,0.17779911616700325
"w_int=0, w_energy=0.005",0.0,0.005,-2.1760916530989522,29,-2.17579640342001,-3.4455230449595913,0.1935189592652588,0.37123928143315826
"w_int=0.0005, w_energy=0.0001",0.0005,0.0001,-2.1650417213626567,29,-2.1646585591637733,-3.445958420779158,0.19410421090921265,0.2324270519245609
"w_int=0.0005, w_energy=0.001",0.0005,0.001,-2.2012498075787494,30,-2.2012498075787494,-3.4546679854393005,0.19426261723413762,0.1618624151914914
"w_int=0.0001, w_energy=0.0005",0.0001,0.0005,-2.1878971339694697,30,-2.1878971339694697,-3.456248973052539,0.19463995288666427,0.2013027949485111
"w_int=0.0005, w_energy=0",0.0005,0.0,-2.1634233652359374,30,-2.1634233652359374,-3.445403306539503,0.1946400672614214,0.2259823059451067
"w_int=0, w_energy=0",0.0,0.0,-2.1739846920793497,30,-2.1739846920793497,-3.454446876013377,0.19502074271732486,0.3576453406901346
"w_int=0.001, w_energy=0.001",0.001,0.001,-2.1693566762947727,30,-2.1693566762947727,-3.4459833239742244,0.19620628784077987,0.19364884431329993
"w_int=0.005, w_energy=0",0.005,0.0,-2.1780035338397696,30,-2.1780035338397696,-3.4493691344803272,0.19626402100819407,0.13622890675429505
"w_int=0.001, w_energy=0.0001",0.001,0.0001,-2.184493320557051,29,-2.1833200459594577,-3.456526111424103,0.19633120720523023,0.19102962829542203
"w_int=0.005, w_energy=0.001",0.005,0.001,-2.173883124824288,30,-2.173883124824288,-3.444388344248641,0.19691650908399663,0.2183448060645125
"w_int=0.0001, w_energy=0.0001",0.0001,0.0001,-2.156516890068656,30,-2.156516890068656,-3.436625089008771,0.1969939566737841,0.2527303292269481
"w_int=0, w_energy=0.0005",0.0,0.0005,-2.1773962578871875,29,-2.1769206850852783,-3.455976344795484,0.19719249456683868,0.16484944294843504
"w_int=0.005, w_energy=0.005",0.005,0.005,-2.1686407695313417,30,-2.1686407695313417,-3.452202528782005,0.19729188903936404,0.13196211807423386
"w_int=0.001, w_energy=0.005",0.001,0.005,-2.155741250214791,30,-2.155741250214791,-3.444977271797591,0.1978099019689377,0.24522758670281966
"w_int=0.005, w_energy=0.0001",0.005,0.0001,-2.1815332606627718,30,-2.1815332606627718,-3.454162349429876,0.19782088631119815,0.14109885862133312
"w_int=0.0001, w_energy=0.001",0.0001,0.001,-2.1473964467632634,29,-2.1470455113484923,-3.4499900133732817,0.1978567038113809,0.2965587281130712
"w_int=0, w_energy=0.001",0.0,0.001,-2.1660530411195262,29,-2.1648231698742624,-3.4510278913987245,0.19802230487125141,0.175954648469308
"w_int=0.0001, w_energy=0",0.0001,0.0,-2.155033029417709,29,-2.153566313030433,-3.440871105322485,0.1980820326914432,0.18692550277295988
"w_int=0.0001, w_energy=0.005",0.0001,0.005,-2.166049024969502,30,-2.166049024969502,-3.4440900839436117,0.19896704328949427,0.2725876979023131
"w_int=0.005, w_energy=0.0005",0.005,0.0005,-2.17422402998535,29,-2.1738736210300504,-3.448464056272157,0.20241201398312114,0.15304111403555903
