file,index,time,type,detail
Oxford Dataset\handbag-1\imu1.csv,4315,1496760742.4,dt_anomaly,0.0
Oxford Dataset\handbag-1\imu1.csv,21715,1496760916.55,dt_anomaly,0.0
Oxford Dataset\handbag-1\imu1.csv,22209,1496760921.49,dt_anomaly,-0.009999990463256836
Oxford Dataset\handbag-1\imu1.csv,29935,1496760998.82,dt_anomaly,0.0
Oxford Dataset\handbag-1\imu1.csv,30380,1496761003.27,dt_anomaly,-0.009999990463256836
Oxford Dataset\handbag-1\imu1.csv,33971,1496761039.21,dt_anomaly,-0.009999990463256836
Oxford Dataset\handbag-1\imu1.csv,35469,1496761054.2,dt_anomaly,-0.009999990463256836
Oxford Dataset\handbag-1\imu1.csv,39317,1496761092.71,dt_anomaly,-0.009999990463256836
Oxford Dataset\handbag-1\imu1.csv,39790,1496761097.45,dt_anomaly,-0.009999990463256836
Oxford Dataset\handbag-1\imu1.csv,45961,1496761159.21,dt_anomaly,-0.009999990463256836
Oxford Dataset\handbag-1\imu1.csv,48861,1496761188.24,dt_anomaly,0.0
Oxford Dataset\handbag-1\imu1.csv,51237,1496761212.02,dt_anomaly,0.0
Oxford Dataset\handbag-1\imu1.csv,51656,1496761216.2,dt_anomaly,-0.019999980926513672
Oxford Dataset\handbag-1\imu1.csv,55280,1496761252.48,dt_anomaly,-0.009999990463256836
Oxford Dataset\handbag-1\imu1.csv,127,1496760700.49,jump,0.10357772464675982
Oxford Dataset\handbag-1\imu1.csv,184,1496760701.06,jump,0.1991766103712984
Oxford Dataset\handbag-1\imu1.csv,186,1496760701.08,jump,0.24858892306174857
Oxford Dataset\handbag-1\imu1.csv,187,1496760701.09,jump,0.382585267553522
Oxford Dataset\handbag-1\imu1.csv,188,1496760701.1,jump,0.3556552334958675
Oxford Dataset\handbag-1\imu1.csv,189,1496760701.11,jump,0.18489098220573114
Oxford Dataset\handbag-1\imu1.csv,202,1496760701.24,jump,0.33911042379584855
Oxford Dataset\handbag-1\imu1.csv,205,1496760701.27,jump,0.26673177317672525
Oxford Dataset\handbag-1\imu1.csv,206,1496760701.28,jump,0.22750729289629376
Oxford Dataset\handbag-1\imu1.csv,207,1496760701.29,jump,0.24311995597852512
Oxford Dataset\handbag-1\imu1.csv,208,1496760701.3,jump,0.21784908696618402
Oxford Dataset\handbag-1\imu1.csv,211,1496760701.33,jump,0.17418264443968004
Oxford Dataset\handbag-1\imu1.csv,215,1496760701.37,jump,0.1931011242820714
Oxford Dataset\handbag-1\imu1.csv,216,1496760701.38,jump,0.2830979213823373
Oxford Dataset\handbag-1\imu1.csv,217,1496760701.39,jump,0.22875817812484872
Oxford Dataset\handbag-1\imu1.csv,219,1496760701.41,jump,0.15832391434019055
Oxford Dataset\handbag-1\imu1.csv,220,1496760701.42,jump,0.1575904959063204
Oxford Dataset\handbag-1\imu1.csv,221,1496760701.43,jump,0.17766169584634725
Oxford Dataset\handbag-1\imu1.csv,224,1496760701.46,jump,0.2302301848389998
Oxford Dataset\handbag-1\imu1.csv,225,1496760701.47,jump,0.25043786856024786
Oxford Dataset\handbag-1\imu1.csv,226,1496760701.48,jump,0.3088074689867459
Oxford Dataset\handbag-1\imu1.csv,227,1496760701.49,jump,0.35483519018834647
Oxford Dataset\handbag-1\imu1.csv,228,1496760701.5,jump,0.3734832663346511
Oxford Dataset\handbag-1\imu1.csv,231,1496760701.53,jump,0.09814987592452677
Oxford Dataset\handbag-1\imu1.csv,234,1496760701.56,jump,0.21797950399980268
Oxford Dataset\handbag-1\imu1.csv,235,1496760701.57,jump,0.16350788201184677
Oxford Dataset\handbag-1\imu1.csv,238,1496760701.6,jump,0.33922225299794234
Oxford Dataset\handbag-1\imu1.csv,242,1496760701.64,jump,0.20506541839617912
Oxford Dataset\handbag-1\imu1.csv,243,1496760701.65,jump,0.2235164646351584
Oxford Dataset\handbag-1\imu1.csv,244,1496760701.66,jump,0.24434035943331175
Oxford Dataset\handbag-1\imu1.csv,245,1496760701.67,jump,0.2235022022822147
Oxford Dataset\handbag-1\imu1.csv,250,1496760701.72,jump,0.2274257333702587
Oxford Dataset\handbag-1\imu1.csv,266,1496760701.88,jump,0.22470546743904574
Oxford Dataset\handbag-1\imu1.csv,498,1496760704.2,jump,0.2415068276819519
Oxford Dataset\handbag-1\imu1.csv,500,1496760704.22,jump,0.41844250850983106
Oxford Dataset\handbag-1\imu1.csv,501,1496760704.23,jump,0.15323275838083708
Oxford Dataset\handbag-1\imu1.csv,502,1496760704.24,jump,0.2575564063287885
Oxford Dataset\handbag-1\imu1.csv,530,1496760704.52,jump,0.1352481596473682
Oxford Dataset\handbag-1\imu1.csv,531,1496760704.53,jump,0.2505281284866033
Oxford Dataset\handbag-1\imu1.csv,532,1496760704.54,jump,0.28099347384948287
Oxford Dataset\handbag-1\imu1.csv,536,1496760704.58,jump,0.18338615689031712
Oxford Dataset\handbag-1\imu1.csv,537,1496760704.59,jump,0.1613060756047335
Oxford Dataset\handbag-1\imu1.csv,538,1496760704.6,jump,0.16995408665283693
Oxford Dataset\handbag-1\imu1.csv,547,1496760704.69,jump,0.15122374117512102
Oxford Dataset\handbag-1\imu1.csv,577,1496760704.99,jump,0.1973976677699106
Oxford Dataset\handbag-1\imu1.csv,582,1496760705.04,jump,0.2636849626922248
Oxford Dataset\handbag-1\imu1.csv,584,1496760705.06,jump,0.14691620043412504
Oxford Dataset\handbag-1\imu1.csv,586,1496760705.08,jump,0.358614334891956
Oxford Dataset\handbag-1\imu1.csv,587,1496760705.09,jump,0.6221161724268226
Oxford Dataset\handbag-1\imu1.csv,588,1496760705.1,jump,0.5182491009215549
Oxford Dataset\handbag-1\imu1.csv,589,1496760705.11,jump,0.26715047219497856
Oxford Dataset\handbag-1\imu1.csv,590,1496760705.12,jump,0.5118963557430352
Oxford Dataset\handbag-1\imu1.csv,591,1496760705.13,jump,0.3399332878463067
Oxford Dataset\handbag-1\imu1.csv,599,1496760705.21,jump,0.15673454828786154
Oxford Dataset\handbag-1\imu1.csv,600,1496760705.22,jump,0.23558354405815354
Oxford Dataset\handbag-1\imu1.csv,601,1496760705.23,jump,0.2810025066560795
Oxford Dataset\handbag-1\imu1.csv,604,1496760705.26,jump,0.2289603718528602
Oxford Dataset\handbag-1\imu1.csv,606,1496760705.28,jump,0.3006448975502494
Oxford Dataset\handbag-1\imu1.csv,613,1496760705.35,jump,0.15913676369714197
Oxford Dataset\handbag-1\imu1.csv,614,1496760705.36,jump,0.15165650567647931
Oxford Dataset\handbag-1\imu1.csv,644,1496760705.66,jump,0.22711967463432137
Oxford Dataset\handbag-1\imu1.csv,645,1496760705.67,jump,0.19359396949027105
Oxford Dataset\handbag-1\imu1.csv,646,1496760705.68,jump,0.16435956856538655
Oxford Dataset\handbag-1\imu1.csv,648,1496760705.7,jump,0.25190930671176087
Oxford Dataset\handbag-1\imu1.csv,649,1496760705.71,jump,0.25821116901482005
Oxford Dataset\handbag-1\imu1.csv,650,1496760705.72,jump,0.24472942905380224
Oxford Dataset\handbag-1\imu1.csv,653,1496760705.75,jump,0.5014616125308098
Oxford Dataset\handbag-1\imu1.csv,654,1496760705.76,jump,0.25270732834249193
Oxford Dataset\handbag-1\imu1.csv,656,1496760705.78,jump,0.19225310794366887
Oxford Dataset\handbag-1\imu1.csv,657,1496760705.79,jump,0.15132485681143068
Oxford Dataset\handbag-1\imu1.csv,658,1496760705.8,jump,0.14779655636042405
Oxford Dataset\handbag-1\imu1.csv,659,1496760705.81,jump,0.13495977998277855
Oxford Dataset\handbag-1\imu1.csv,660,1496760705.82,jump,0.1968444682915931
Oxford Dataset\handbag-1\imu1.csv,667,1496760705.89,jump,0.25214611996618147
Oxford Dataset\handbag-1\imu1.csv,668,1496760705.9,jump,0.18571219285496574
Oxford Dataset\handbag-1\imu1.csv,669,1496760705.91,jump,0.1568157268771217
Oxford Dataset\handbag-1\imu1.csv,674,1496760705.96,jump,0.37489647787889396
Oxford Dataset\handbag-1\imu1.csv,675,1496760705.97,jump,0.6992952604894443
Oxford Dataset\handbag-1\imu1.csv,676,1496760705.98,jump,0.5641817707317385
Oxford Dataset\handbag-1\imu1.csv,677,1496760705.99,jump,0.2449523197338617
Oxford Dataset\handbag-1\imu1.csv,678,1496760706.0,jump,0.2620235925847137
Oxford Dataset\handbag-1\imu1.csv,679,1496760706.01,jump,0.33491089809977814
Oxford Dataset\handbag-1\imu1.csv,680,1496760706.02,jump,0.2577836492351678
Oxford Dataset\handbag-1\imu1.csv,682,1496760706.04,jump,0.15266242788911752
Oxford Dataset\handbag-1\imu1.csv,683,1496760706.05,jump,0.23445015977388456
Oxford Dataset\handbag-1\imu1.csv,685,1496760706.07,jump,0.1365470408027944
Oxford Dataset\handbag-1\imu1.csv,686,1496760706.08,jump,0.15445056542790642
Oxford Dataset\handbag-1\imu1.csv,688,1496760706.1,jump,0.31689155466184327
Oxford Dataset\handbag-1\imu1.csv,689,1496760706.11,jump,0.17689580824598417
Oxford Dataset\handbag-1\imu1.csv,729,1496760706.51,jump,0.09987719014870211
Oxford Dataset\handbag-1\imu1.csv,731,1496760706.53,jump,0.14437613101894647
Oxford Dataset\handbag-1\imu1.csv,736,1496760706.58,jump,0.3101963244398617
Oxford Dataset\handbag-1\imu1.csv,737,1496760706.59,jump,0.3069512347784254
Oxford Dataset\handbag-1\imu1.csv,738,1496760706.6,jump,0.2710626367354969
Oxford Dataset\handbag-1\imu1.csv,739,1496760706.61,jump,0.1914266909315418
Oxford Dataset\handbag-1\imu1.csv,741,1496760706.63,jump,0.27294843486453624
Oxford Dataset\handbag-1\imu1.csv,742,1496760706.64,jump,0.3487633977326176
Oxford Dataset\handbag-1\imu1.csv,743,1496760706.65,jump,0.38249077113703017
Oxford Dataset\handbag-1\imu1.csv,744,1496760706.66,jump,0.31966213100240704
Oxford Dataset\handbag-1\imu1.csv,745,1496760706.67,jump,0.23363424283696088
Oxford Dataset\handbag-1\imu1.csv,746,1496760706.68,jump,0.2210896986926347
Oxford Dataset\handbag-1\imu1.csv,747,1496760706.69,jump,0.1740633268526142
Oxford Dataset\handbag-1\imu1.csv,748,1496760706.7,jump,0.45089928927311473
Oxford Dataset\handbag-1\imu1.csv,749,1496760706.71,jump,0.4921237421614609
Oxford Dataset\handbag-1\imu1.csv,750,1496760706.72,jump,0.31596967174872964
Oxford Dataset\handbag-1\imu1.csv,752,1496760706.74,jump,0.3982501237036845
Oxford Dataset\handbag-1\imu1.csv,753,1496760706.75,jump,0.32306963496125723
Oxford Dataset\handbag-1\imu1.csv,754,1496760706.76,jump,0.21614667678685232
Oxford Dataset\handbag-1\imu1.csv,756,1496760706.78,jump,0.29333476435465333
Oxford Dataset\handbag-1\imu1.csv,757,1496760706.79,jump,0.32579681877360317
Oxford Dataset\handbag-1\imu1.csv,758,1496760706.8,jump,0.257089715284373
Oxford Dataset\handbag-1\imu1.csv,759,1496760706.81,jump,0.32870927537110967
Oxford Dataset\handbag-1\imu1.csv,760,1496760706.82,jump,0.23965421590908853
Oxford Dataset\handbag-1\imu1.csv,761,1496760706.83,jump,0.38638074882297124
Oxford Dataset\handbag-1\imu1.csv,762,1496760706.84,jump,0.27019400163956264
Oxford Dataset\handbag-1\imu1.csv,763,1496760706.85,jump,0.21829341486861215
Oxford Dataset\handbag-1\imu1.csv,764,1496760706.86,jump,0.30367972182383196
Oxford Dataset\handbag-1\imu1.csv,765,1496760706.87,jump,0.20423700213232662
Oxford Dataset\handbag-1\imu1.csv,773,1496760706.95,jump,0.38904411082549495
Oxford Dataset\handbag-1\imu1.csv,774,1496760706.96,jump,0.3687195242565818
Oxford Dataset\handbag-1\imu1.csv,775,1496760706.97,jump,0.2873279676937141
Oxford Dataset\handbag-1\imu1.csv,777,1496760706.99,jump,0.14681969503441972
Oxford Dataset\handbag-1\imu1.csv,778,1496760707.0,jump,0.2055167909879871
Oxford Dataset\handbag-1\imu1.csv,779,1496760707.01,jump,0.21358795828651014
Oxford Dataset\handbag-1\imu1.csv,781,1496760707.03,jump,0.11078919635957289
Oxford Dataset\handbag-1\imu1.csv,782,1496760707.04,jump,0.12429695730386968
Oxford Dataset\handbag-1\imu1.csv,808,1496760707.3,jump,0.29381086336791573
Oxford Dataset\handbag-1\imu1.csv,811,1496760707.33,jump,0.5971322246027257
Oxford Dataset\handbag-1\imu1.csv,812,1496760707.34,jump,0.22986324621391738
Oxford Dataset\handbag-1\imu1.csv,813,1496760707.35,jump,0.41032562357717806
Oxford Dataset\handbag-1\imu1.csv,814,1496760707.36,jump,0.40705223105518046
Oxford Dataset\handbag-1\imu1.csv,817,1496760707.39,jump,0.08962949929013328
Oxford Dataset\handbag-1\imu1.csv,819,1496760707.41,jump,0.15190999928246987
Oxford Dataset\handbag-1\imu1.csv,825,1496760707.47,jump,0.23232985366499936
Oxford Dataset\handbag-1\imu1.csv,826,1496760707.48,jump,0.23457934183128742
Oxford Dataset\handbag-1\imu1.csv,828,1496760707.5,jump,0.3605464421957316
Oxford Dataset\handbag-1\imu1.csv,829,1496760707.51,jump,0.5202152754946744
Oxford Dataset\handbag-1\imu1.csv,830,1496760707.52,jump,0.4186549721560703
Oxford Dataset\handbag-1\imu1.csv,832,1496760707.54,jump,0.30493946215437584
Oxford Dataset\handbag-1\imu1.csv,833,1496760707.55,jump,0.36862291046678036
Oxford Dataset\handbag-1\imu1.csv,834,1496760707.56,jump,0.3295752168504179
Oxford Dataset\handbag-1\imu1.csv,837,1496760707.59,jump,0.3441246823347608
Oxford Dataset\handbag-1\imu1.csv,839,1496760707.61,jump,0.45153297450130925
Oxford Dataset\handbag-1\imu1.csv,840,1496760707.62,jump,0.4560642242546547
Oxford Dataset\handbag-1\imu1.csv,841,1496760707.63,jump,0.4955327612459141
Oxford Dataset\handbag-1\imu1.csv,842,1496760707.64,jump,0.22357619642305393
Oxford Dataset\handbag-1\imu1.csv,843,1496760707.65,jump,0.4719003165203431
Oxford Dataset\handbag-1\imu1.csv,844,1496760707.66,jump,0.24344402609429544
Oxford Dataset\handbag-1\imu1.csv,845,1496760707.67,jump,0.18713439727906786
Oxford Dataset\handbag-1\imu1.csv,846,1496760707.68,jump,0.1793887017261678
Oxford Dataset\handbag-1\imu1.csv,852,1496760707.74,jump,0.24151951756328088
Oxford Dataset\handbag-1\imu1.csv,853,1496760707.75,jump,0.17574787931295216
Oxford Dataset\handbag-1\imu1.csv,855,1496760707.77,jump,0.10420650462902975
Oxford Dataset\handbag-1\imu1.csv,861,1496760707.83,jump,0.28314532360432865
Oxford Dataset\handbag-1\imu1.csv,863,1496760707.85,jump,0.13456166146789358
Oxford Dataset\handbag-1\imu1.csv,865,1496760707.87,jump,0.10064129845148065
