file,folder,n_rows,dt_median,dt_max,dt_anomaly_count,jump_count,spike_count,flatline_count,severity_score,flagged,notes
Oxford Dataset\handbag-2\imu3.csv,handbag-2,43982,0.0,1.0,43981,271,1,0,88234.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\pocket-2\imu2.csv,pocket-2,57460,0.009999990463256836,0.029999971389770508,9,2270,403,0,2892.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\pocket-2\imu4.csv,pocket-2,68289,0.009999990463256836,0.020000219345092773,12,2350,175,0,2636.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\pocket-2\imu3.csv,pocket-2,64239,0.009999990463256836,0.019999980926513672,11,2219,261,0,2632.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\pocket-2\imu1.csv,pocket-2,66533,0.009999990463256836,0.029999971389770508,12,2258,210,0,2597.0,True,timestamp异常;跳变;尖峰
Oxford Dataset\pocket-2\imu6.csv,pocket-2,63734,0.009999990463256836,0.020000219345092773,12,2028,74,0,2163.0,True,timestamp异常;跳变;尖峰
Oxford Dataset\pocket-2\imu5.csv,pocket-2,48450,0.009999990463256836,0.05000019073486328,10,1664,87,0,1814.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\pocket-1\imu1.csv,pocket-1,34986,0.009999990463256836,0.029999971389770508,12,1332,154,0,1587.0,True,timestamp异常;跳变;尖峰
Oxford Dataset\pocket-1\imu4.csv,pocket-1,50558,0.009999990463256836,0.019999980926513672,6,1431,39,0,1501.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\pocket-1\imu3.csv,pocket-1,52578,0.009999990463256836,0.020000219345092773,8,1358,14,0,1395.0,True,timestamp异常;跳变;尖峰
Oxford Dataset\pocket-1\imu2.csv,pocket-1,46799,0.009999990463256836,0.020000219345092773,7,1202,3,0,1220.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\pocket-1\imu5.csv,pocket-1,25523,0.009999990463256836,0.020000219345092773,4,963,130,0,1166.0,True,timestamp异常;跳变;尖峰
Oxford Dataset\handbag-2\imu1.csv,handbag-2,61326,0.009999990463256836,0.020000219345092773,12,643,21,0,698.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\handbag-1\imu3.csv,handbag-1,62766,0.009999990463256836,0.020000219345092773,4,647,5,0,662.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\handbag-1\imu2.csv,handbag-1,61693,0.009999990463256836,0.020000219345092773,12,617,7,0,651.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\handbag-2\imu2.csv,handbag-2,61491,0.009999990463256836,0.020000219345092773,15,598,13,0,647.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\handbag-1\imu1.csv,handbag-1,61773,0.009999990463256836,0.029999971389770508,14,595,12,0,641.0,True,timestamp异常;跳变;尖峰
Oxford Dataset\user-2\imu4.csv,user-2,47103,0.009999990463256836,0.020000219345092773,6,601,0,0,613.0,True,timestamp异常;跳变
Oxford Dataset\handbag-2\imu4.csv,handbag-2,40858,0.009999990463256836,0.020000219345092773,6,463,5,0,482.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\user-2\imu6.csv,user-2,29611,0.009999990463256836,0.019999980926513672,2,455,9,0,472.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\handbag-1\imu4.csv,handbag-1,49264,0.009999990463256836,0.020000219345092773,10,403,18,0,450.0,True,timestamp异常;跳变;尖峰
Oxford Dataset\user-2\imu5.csv,user-2,37783,0.009999990463256836,0.029999971389770508,6,409,7,0,431.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\user-2\imu3.csv,user-2,36360,0.009999990463256836,0.029999971389770508,9,372,0,0,390.0,True,timestamp异常;跳变
Oxford Dataset\trolley\imu2.csv,trolley,30877,0.009999990463256836,0.029999971389770508,11,295,44,0,383.0,True,timestamp异常;跳变;尖峰
Oxford Dataset\trolley\imu3.csv,trolley,35879,0.009999990463256836,0.020000219345092773,13,152,19,0,206.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\trolley\imu1.csv,trolley,44709,0.009999990463256836,0.020000219345092773,11,181,0,0,203.0,True,timestamp异常;跳变
Oxford Dataset\running\imu4.csv,running,60443,0.009999990463256836,0.07000017166137695,82,20,0,0,184.0,True,timestamp异常;跳变
Oxford Dataset\trolley\imu4.csv,trolley,59842,0.009999990463256836,0.029999971389770508,17,114,13,0,167.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\trolley\imu5.csv,trolley,61106,0.009999990463256836,0.020000219345092773,19,116,6,0,163.0,True,timestamp异常;跳变;尖峰
Oxford Dataset\slow walking\imu1.csv,slow walking,61117,0.009999990463256836,0.06000018119812012,75,9,0,0,159.0,True,timestamp异常;跳变
Oxford Dataset\slow walking\imu4.csv,slow walking,59370,0.009999990463256836,0.039999961853027344,70,19,0,0,159.0,True,timestamp异常;跳变
Oxford Dataset\slow walking\imu6.csv,slow walking,60251,0.009999990463256836,0.15000009536743164,72,14,0,0,158.0,True,timestamp异常;跳变
Oxford Dataset\user-2\imu2.csv,user-2,31840,0.009999990463256836,0.029999971389770508,4,132,0,0,140.0,True,timestamp异常;跳变
Oxford Dataset\slow walking\imu3.csv,slow walking,61677,0.009999990463256836,0.06999993324279785,57,24,0,0,138.0,True,timestamp异常;跳变
Oxford Dataset\slow walking\imu5.csv,slow walking,60746,0.009999990463256836,0.05000019073486328,65,6,0,0,136.0,True,timestamp异常;跳变
Oxford Dataset\trolley\imu6.csv,trolley,58586,0.009999990463256836,0.020000219345092773,20,91,3,0,135.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\running\imu3.csv,running,59433,0.009999990463256836,0.06000018119812012,63,6,0,0,132.0,True,timestamp异常;跳变
Oxford Dataset\user-2\imu1.csv,user-2,38176,0.009999990463256836,0.020000219345092773,2,127,0,0,131.0,True,timestamp异常;跳变
Oxford Dataset\slow walking\imu2.csv,slow walking,60320,0.009999990463256836,0.03000020980834961,55,19,0,0,129.0,True,timestamp异常;跳变
Oxford Dataset\running\imu2.csv,running,62291,0.009999990463256836,0.039999961853027344,55,8,0,0,118.0,True,timestamp异常;跳变
Oxford Dataset\running\imu5.csv,running,61977,0.009999990463256836,0.029999971389770508,54,9,0,0,117.0,True,timestamp异常;跳变
Oxford Dataset\handheld-1\imu2.csv,handheld-1,23430,0.009999990463256836,0.020000219345092773,8,100,0,0,116.0,True,timestamp异常;跳变
Oxford Dataset\running\imu7.csv,running,30431,0.009999990463256836,0.06000018119812012,47,18,0,0,112.0,True,timestamp异常;跳变
Oxford Dataset\handheld-1\imu5.csv,handheld-1,32137,0.009999990463256836,0.020000219345092773,9,72,13,0,109.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\handheld-1\imu4.csv,handheld-1,21625,0.009999990463256836,0.020000219345092773,6,92,1,0,105.5,True,timestamp异常;跳变;尖峰
Oxford Dataset\running\imu1.csv,running,69059,0.009999990463256836,0.039999961853027344,48,5,0,0,101.0,True,timestamp异常;跳变
Oxford Dataset\running\imu6.csv,running,30413,0.009999990463256836,0.06999993324279785,38,16,0,0,92.0,True,timestamp异常;跳变
Oxford Dataset\slow walking\imu7.csv,slow walking,31121,0.009999990463256836,0.039999961853027344,33,2,0,0,68.0,True,timestamp异常;跳变
Oxford Dataset\slow walking\imu8.csv,slow walking,30343,0.009999990463256836,0.04999995231628418,22,18,0,0,62.0,True,timestamp异常;跳变
Oxford Dataset\handheld-1\imu1.csv,handheld-1,38274,0.009999990463256836,0.020000219345092773,6,46,0,0,58.0,True,timestamp异常;跳变
Oxford Dataset\handheld-1\imu3.csv,handheld-1,18837,0.009999990463256836,0.020000219345092773,1,34,6,0,45.0,True,timestamp异常;跳变;尖峰
Oxford Dataset\handheld-2\imu3.csv,handheld-2,30038,0.009999990463256836,0.020000219345092773,7,20,6,0,43.0,True,timestamp异常;跳变;尖峰
Oxford Dataset\handheld-1\imu6.csv,handheld-1,32514,0.009999990463256836,0.020000219345092773,7,23,0,0,37.0,True,timestamp异常;跳变
Oxford Dataset\trolley\imu7.csv,trolley,27359,0.009999990463256836,0.020000219345092773,8,10,0,0,26.0,True,timestamp异常;跳变
Oxford Dataset\handheld-2\imu2.csv,handheld-2,31157,0.009999990463256836,0.020000219345092773,5,11,0,0,21.0,True,timestamp异常;跳变
Oxford Dataset\handheld-2\imu1.csv,handheld-2,32594,0.009999990463256836,0.020000219345092773,6,2,0,0,14.0,True,timestamp异常;跳变
Oxford Dataset\handheld-1\imu7.csv,handheld-1,14088,0.009999990463256836,0.020000219345092773,0,6,2,0,9.0,True,跳变;尖峰
